trade_id,rule_id,split,trade_date,ts_code,industry,original_exit_date,exit_suspend_flag_5d,exit_limit_down_close_flag_5d,resolved,unresolved,delay_days,delayed_exit_date,original_return,delayed_return,return_delta
68701,low_stock_ret_60d,validation,20240422,300506.SZ,建筑工程,20240429,True,False,True,False,1.0,20240430,0.028571428571428692,-0.017142857142857126,-0.04571428571428582
68720,low_stock_ret_60d,validation,20240423,002141.SZ,农业综合,20240430,False,True,False,True,5.0,20240510,-0.06481481481481488,-0.2777777777777779,-0.21296296296296302
68723,low_stock_ret_60d,validation,20240423,300125.SZ,电气设备,20240430,True,True,True,False,2.0,20240507,-0.2318584070796461,-0.42300884955752216,-0.19115044247787605
68733,low_stock_ret_60d,validation,20240423,300208.SZ,UNKNOWN,20240430,True,True,True,False,1.0,20240506,-0.21604938271604934,-0.2623456790123456,-0.04629629629629628
68740,low_stock_ret_60d,validation,20240424,002141.SZ,农业综合,20240506,False,True,True,False,5.0,20240513,-0.14285714285714302,-0.267857142857143,-0.125
68742,low_stock_ret_60d,validation,20240424,600836.SH,UNKNOWN,20240506,True,True,False,True,5.0,20240513,-0.10303030303030303,-0.3030303030303031,-0.20000000000000007
68744,low_stock_ret_60d,validation,20240424,300125.SZ,电气设备,20240506,False,True,True,False,1.0,20240507,-0.38035714285714284,-0.4178571428571428,-0.03749999999999998
68745,low_stock_ret_60d,validation,20240424,603959.SH,建筑工程,20240506,True,True,False,True,5.0,20240513,-0.009638554216867656,-0.23614457831325308,-0.22650602409638543
68751,low_stock_ret_60d,validation,20240424,300116.SZ,UNKNOWN,20240506,False,True,False,True,5.0,20240513,-0.41666666666666674,-0.8055555555555556,-0.38888888888888884
68754,low_stock_ret_60d,validation,20240424,002621.SZ,UNKNOWN,20240506,True,True,False,True,5.0,20240513,-0.02684563758389258,-0.24832214765100669,-0.2214765100671141
68756,low_stock_ret_60d,validation,20240424,000908.SZ,化学制药,20240506,True,True,True,False,1.0,20240507,0.02547770700636942,0.044585987261146265,0.019108280254776844
68760,low_stock_ret_60d,validation,20240425,300116.SZ,UNKNOWN,20240507,False,True,False,True,5.0,20240514,-0.35849056603773577,-0.7924528301886793,-0.4339622641509435
68761,low_stock_ret_60d,validation,20240425,603959.SH,建筑工程,20240507,False,True,False,True,5.0,20240514,-0.07582938388625593,-0.28672985781990523,-0.2109004739336493
68767,low_stock_ret_60d,validation,20240425,002621.SZ,UNKNOWN,20240507,False,True,False,True,5.0,20240514,-0.02127659574468077,-0.24822695035460984,-0.22695035460992907
68780,low_stock_ret_60d,validation,20240426,600836.SH,UNKNOWN,20240508,False,True,False,True,5.0,20240515,-0.11258278145695355,-0.3112582781456953,-0.19867549668874174
68781,low_stock_ret_60d,validation,20240426,603959.SH,建筑工程,20240508,False,True,False,True,5.0,20240515,-0.11455847255369933,-0.3174224343675419,-0.20286396181384259
68788,low_stock_ret_60d,validation,20240426,002621.SZ,UNKNOWN,20240508,False,True,False,True,5.0,20240515,-0.007575757575757569,-0.23484848484848486,-0.2272727272727273
68794,low_stock_ret_60d,validation,20240426,002217.SZ,元器件,20240508,False,True,True,False,1.0,20240509,-0.01724137931034475,-0.008620689655172376,0.008620689655172376
69163,low_stock_ret_60d,validation,20240528,002717.SZ,环境保护,20240604,False,True,True,False,1.0,20240605,-0.19999999999999996,-0.1230769230769232,0.07692307692307676
69202,low_stock_ret_60d,validation,20240530,002713.SZ,装修装饰,20240606,False,True,True,False,1.0,20240607,-0.21283783783783772,-0.18243243243243235,0.030405405405405372
69210,low_stock_ret_60d,validation,20240530,600225.SH,UNKNOWN,20240606,False,True,True,False,1.0,20240607,-0.1435185185185186,-0.12037037037037046,0.02314814814814814
69246,low_stock_ret_60d,validation,20240603,002229.SZ,广告包装,20240611,False,True,True,False,1.0,20240612,-0.16167247386759587,-0.12334494773519167,0.0383275261324042
69264,low_stock_ret_60d,validation,20240604,000982.SZ,UNKNOWN,20240612,False,True,False,True,5.0,20240619,-0.3793103448275862,-0.6379310344827587,-0.2586206896551725
69381,low_stock_ret_60d,validation,20240613,000996.SZ,UNKNOWN,20240620,False,True,True,False,1.0,20240621,0.11764705882352944,0.1470588235294117,0.02941176470588225
69427,low_stock_ret_60d,validation,20240617,002717.SZ,环境保护,20240624,False,True,True,False,1.0,20240625,-0.1923076923076923,-0.1153780558756089,0.07692963643208339
69442,low_stock_ret_60d,validation,20240618,000996.SZ,UNKNOWN,20240625,False,True,True,False,1.0,20240626,-0.1429204941400064,-0.09523809523809512,0.04768239890191128
69580,low_stock_ret_60d,validation,20240627,002433.SZ,UNKNOWN,20240704,False,True,False,False,,,-0.12903225806451601,,
69622,low_stock_ret_60d,validation,20240701,002713.SZ,装修装饰,20240708,False,True,True,False,3.0,20240711,0.2794759825327511,-0.004366812227074357,-0.28384279475982543
69775,low_stock_ret_60d,validation,20240710,000861.SZ,UNKNOWN,20240717,False,True,False,False,,,0.08860759493670889,,
70064,low_stock_ret_60d,validation,20240731,002717.SZ,环境保护,20240807,False,True,True,False,2.0,20240809,0.10891089108910901,0.0990099009900991,-0.00990099009900991
70515,low_stock_ret_60d,validation,20240830,601515.SH,广告包装,20240906,False,True,True,False,1.0,20240909,0.18181818181818166,0.1558441558441559,-0.02597402597402576
70820,low_stock_ret_60d,validation,20240925,300573.SZ,化学制药,20241009,False,True,True,False,1.0,20241010,0.2981137053159213,0.23506133755441216,-0.06305236776150913
70833,low_stock_ret_60d,validation,20240925,300930.SZ,小金属,20241009,False,True,True,False,1.0,20241010,0.18604651162790664,0.20310077519379832,0.01705426356589168
72050,low_stock_ret_60d,validation,20241226,603863.SH,造纸,20250103,False,True,True,False,1.0,20250106,-0.12303290414878387,-0.1773962804005722,-0.05436337625178833
72080,low_stock_ret_60d,validation,20241230,300630.SZ,UNKNOWN,20250107,True,True,True,False,2.0,20250109,-0.05504587155963314,-0.3944954128440368,-0.33944954128440363
72101,low_stock_ret_60d,validation,20241231,300630.SZ,UNKNOWN,20250108,False,True,True,False,1.0,20250109,-0.27138643067846613,-0.4159292035398231,-0.14454277286135697
72262,low_stock_ret_60d,research_holdout,20250113,000004.SZ,软件服务,20250120,False,True,True,False,1.0,20250121,-0.04469273743016755,-0.08619313647246618,-0.04150039904229863
72375,low_stock_ret_60d,research_holdout,20250120,000595.SZ,新型电力,20250127,False,True,True,False,1.0,20250205,-0.14448051948051954,-0.13474025974025972,0.009740259740259827
72741,low_stock_ret_60d,research_holdout,20250224,600246.SH,区域地产,20250303,False,True,True,False,1.0,20250304,0.014173228346456845,0.053543307086614256,0.03937007874015741
72862,low_stock_ret_60d,research_holdout,20250304,002693.SZ,生物制药,20250311,False,True,True,False,2.0,20250313,-0.10639827462257367,-0.13803019410496042,-0.03163191948238675
72880,low_stock_ret_60d,research_holdout,20250305,002693.SZ,生物制药,20250312,False,True,True,False,1.0,20250313,-0.1885424220449602,-0.13052936910804924,0.05801305293691095
73043,low_stock_ret_60d,research_holdout,20250317,600243.SH,运输设备,20250324,False,True,True,False,2.0,20250326,0.18211920529801318,0.0066225165562914245,-0.17549668874172175
73053,low_stock_ret_60d,research_holdout,20250317,000736.SZ,全国地产,20250324,False,True,True,False,1.0,20250325,-0.1510015408320493,-0.16332819722650227,-0.012326656394452962
73054,low_stock_ret_60d,research_holdout,20250317,000004.SZ,软件服务,20250324,False,True,True,False,1.0,20250325,-0.15526950925181027,-0.17538213998390995,-0.02011263073209968
73067,low_stock_ret_60d,research_holdout,20250318,600243.SH,运输设备,20250325,False,True,True,False,1.0,20250326,0.07718120805369133,0.020134228187919323,-0.05704697986577201
73083,low_stock_ret_60d,research_holdout,20250319,002199.SZ,元器件,20250326,True,True,True,False,2.0,20250328,-0.15873015873015883,-0.18571428571428583,-0.026984126984127
73102,low_stock_ret_60d,research_holdout,20250320,002199.SZ,元器件,20250327,False,True,True,False,1.0,20250328,-0.1910112359550563,-0.1765650080256823,0.014446227929374
73136,low_stock_ret_60d,research_holdout,20250321,603398.SH,电气设备,20250328,False,True,True,False,1.0,20250331,-0.12937500000000002,-0.17312499999999997,-0.043749999999999956
73220,low_stock_ret_60d,research_holdout,20250328,002693.SZ,生物制药,20250407,False,True,True,False,1.0,20250408,-0.15094339622641495,-0.22197558268590456,-0.07103218645948961
73222,low_stock_ret_60d,research_holdout,20250328,600200.SH,UNKNOWN,20250407,False,True,True,False,1.0,20250408,-0.10594795539033464,-0.15055762081784374,-0.044609665427509104
