universe,horizon,factor,decile,days,observations,mean_daily_return,median_daily_return,positive_daily_rate
screened,5d,industry_amount_share_roll60d,6,1998,852323,0.003185654788587668,0.0037526586253815927,0.5480480480480481
screened,5d,industry_amount_share_roll60d,7,1998,872751,0.0038994533537151637,0.004730500313210433,0.5470470470470471
screened,5d,industry_amount_share_roll60d,8,1998,845495,0.004234335616407709,0.002838534656865699,0.5370370370370371
screened,5d,industry_amount_share_roll60d,9,1998,816274,0.004760214434021445,0.004471272152400599,0.5540540540540541
screened,5d,industry_amount_share_roll60d,10,1998,873728,0.004581012972958767,0.004824918473042087,0.5485485485485485
screened,5d,industry_crowding_score,1,1966,838793,0.002852192891241109,0.0031914683212746374,0.5462868769074263
screened,5d,industry_crowding_score,2,1965,845668,0.003428362066202433,0.003554686841217084,0.5440203562340967
screened,5d,industry_crowding_score,3,1967,839335,0.0035485764633889963,0.003012703685957935,0.5480427046263345
screened,5d,industry_crowding_score,4,1967,843718,0.0030774267077936287,0.002472058644106399,0.5348246059989832
screened,5d,industry_crowding_score,5,1967,840428,0.0036241341143464978,0.0031646709073311387,0.5460091509913574
screened,5d,industry_crowding_score,6,1967,840734,0.0037570388984456524,0.0038244560311269187,0.5505846466700559
screened,5d,industry_crowding_score,7,1967,842059,0.003356516952252367,0.0036617474574445383,0.5455007625826132
screened,5d,industry_crowding_score,8,1966,837920,0.003976803050460752,0.0046619577396121385,0.5620549338758901
screened,5d,industry_crowding_score,9,1967,846057,0.003668732832891341,0.0038789901809193512,0.543467208947636
screened,5d,industry_crowding_score,10,1966,844201,0.003148107499951702,0.0030538589167295764,0.546795523906409
screened,5d,stock_amount_share_in_industry,1,2027,859179,0.005839000912857285,0.005709638613054152,0.5796743956586088
screened,5d,stock_amount_share_in_industry,2,2027,860208,0.004986429206227936,0.004939577478357661,0.5624074987666502
screened,5d,stock_amount_share_in_industry,3,2027,860010,0.004356717175939836,0.004031763686481445,0.5535273803650715
screened,5d,stock_amount_share_in_industry,4,2027,860186,0.004002189943820462,0.004271461599572078,0.5481006413418845
screened,5d,stock_amount_share_in_industry,5,2027,860388,0.003520673124451477,0.003355969607485271,0.5431672422298964
screened,5d,stock_amount_share_in_industry,6,2027,859803,0.003077461418709975,0.0035388677668063665,0.549580661075481
screened,5d,stock_amount_share_in_industry,7,2027,859982,0.002720632247817294,0.002960095261581991,0.5431672422298964
screened,5d,stock_amount_share_in_industry,8,2027,860214,0.0022937642887918396,0.0027371324507162865,0.5397138628515047
screened,5d,stock_amount_share_in_industry,9,2027,860004,0.0018600275497507594,0.002487310872235451,0.5337937839171188
screened,5d,stock_amount_share_in_industry,10,2027,861015,0.0008911646787367638,0.0016317917644252894,0.5259003453379378
screened,5d,turnover_rate,1,2027,858193,0.00240815518135879,0.003340437240506661,0.5668475579674396
screened,5d,turnover_rate,2,2027,859174,0.002974205763977373,0.003918915575034743,0.5633941785890478
screened,5d,turnover_rate,3,2027,859016,0.0033823259485249416,0.00416235681552361,0.5604341391218549
screened,5d,turnover_rate,4,2027,859194,0.0037436606615038758,0.004733370032264371,0.5589541193882586
